trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
136,False,"{'a': 1, 'e': 0.2549097606963093}",20,0,-14.491627464592408,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
137,False,"{'a': 1, 'e': 0.2523606630893462}",25,0,4.679514384685987,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
138,False,"{'a': 1, 'e': 0.2498370564584527}",20,9,23.00917710411022,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 1, 'e': 0.24733868589386818}",20,6,20.874365893118497,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 1, 'e': 0.24486529903492948}",20,0,-9.984092176820178,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
141,False,"{'a': 1, 'e': 0.2424166460445802}",20,0,-54.142249482963074,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
142,False,"{'a': 1, 'e': 0.2399924795841344}",20,10,-1.6783790788753121,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 1, 'e': 0.23759255478829303}",25,0,-27.32974897443769,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
144,False,"{'a': 1, 'e': 0.23521662924041012}",30,19,13.017880498242603,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 1, 'e': 0.232864462948006}",30,20,18.88587690341707,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 1, 'e': 0.23053581831852593}",25,19,13.284840925857932,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 1, 'e': 0.22823046013534068}",20,11,5.209598941993714,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 1, 'e': 0.22594815553398728}",20,2,-56.10111964582693,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 2}",1
149,False,"{'a': 1, 'e': 0.2236886739786474}",20,15,10.242841853965533,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 1, 'e': 0.22145178723886091}",25,0,-5.6625852301806106,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
151,False,"{'a': 1, 'e': 0.2192372693664723}",20,13,-11.548623529877066,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 1, 'e': 0.21704489667280757}",25,0,11.645400422065524,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
153,False,"{'a': 1, 'e': 0.2148744477060795}",20,0,12.86600690260684,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 1, 'e': 0.2127257032290187}",20,0,-50.39124032796095,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
155,False,"{'a': 1, 'e': 0.21059844619672852}",20,6,21.006503831859938,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 1, 'e': 0.20849246173476124}",25,15,-10.516623697577115,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
157,False,"{'a': 1, 'e': 0.2064075371174136}",20,0,3.6823311319423464,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
158,False,"{'a': 1, 'e': 0.2043434617462395}",30,18,16.572458129536262,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 1, 'e': 0.2023000271287771}",20,16,9.894623012653673,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 1, 'e': 0.2002770268574893}",20,13,15.12015950218162,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 1, 'e': 0.19827425658891443}",25,19,6.771980553362698,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 1, 'e': 0.19629151402302528}",20,10,5.333711705362732,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 1, 'e': 0.19432859888279502}",30,10,5.369563008064166,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 1, 'e': 0.19238531289396707}",30,8,-6.314261794043816,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
165,False,"{'a': 1, 'e': 0.1904614597650274}",35,2,-2.771014015516297,"{0: 31, 1: 1, 2: 0, 3: 0, 4: 1}",1
166,False,"{'a': 1, 'e': 0.1885568451673771}",30,16,21.27843685882426,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 1, 'e': 0.18667127671570335}",30,16,2.009202055262073,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
168,False,"{'a': 1, 'e': 0.1848045639485463}",25,16,15.863863546312169,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 1, 'e': 0.18295651830906084}",25,16,-29.893498436242638,"{0: 7, 1: 0, 2: 0, 3: 2, 4: 0}",1
170,False,"{'a': 1, 'e': 0.18112695312597024}",20,6,-22.999898078668604,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
171,False,"{'a': 1, 'e': 0.17931568359471053}",20,0,30.18977005148673,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 1, 'e': 0.17752252675876343}",20,0,-61.07500970620492,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
173,False,"{'a': 1, 'e': 0.1757473014911758}",20,4,12.383436275156608,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 1, 'e': 0.173989828476264}",35,14,36.332853818538624,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 1, 'e': 0.1722499301915014}",25,7,16.75778098803871,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 1, 'e': 0.17052743088958636}",30,2,-15.333501516446386,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 1}",1
177,False,"{'a': 1, 'e': 0.1688221565806905}",25,9,1.6397328282777879,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 1, 'e': 0.1671339350148836}",25,0,-14.234545531591486,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",1
179,False,"{'a': 1, 'e': 0.16546259566473476}",30,19,20.125494758902526,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 1, 'e': 0.16380796970808742}",30,15,-4.153733265445156,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
181,False,"{'a': 1, 'e': 0.16216989001100654}",30,15,20.888950451348833,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 1, 'e': 0.16054819111089647}",20,0,13.482461183763695,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 1, 'e': 0.1589427091997875}",20,3,-19.503196957511697,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 0}",1
184,False,"{'a': 1, 'e': 0.15735328210778962}",20,5,-31.488355383226956,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
185,False,"{'a': 1, 'e': 0.15577974928671173}",25,0,2.9592154449193826,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
186,False,"{'a': 1, 'e': 0.1542219517938446}",30,9,11.56651353644556,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
187,False,"{'a': 1, 'e': 0.15267973227590617}",25,0,-10.951869433872925,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
188,False,"{'a': 1, 'e': 0.1511529349531471}",25,0,29.664325696079903,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
